import time: self [us] | cumulative | imported package
import time:       388 |        388 |   _io
import time:       214 |        214 |   marshal
import time:       762 |        762 |   posix
import time:     12070 |      13432 | _frozen_importlib_external
import time:       273 |        273 |   time
import time:      3095 |       3368 | zipimport
import time:       169 |        169 |     _codecs
import time:      2357 |       2526 |   codecs
import time:       992 |        992 |   encodings.aliases
import time:      4148 |       7664 | encodings
import time:       529 |        529 | encodings.utf_8
import time:       260 |        260 | _signal
import time:       109 |        109 |       _abc
import time:      2152 |       2261 |     abc
import time:       127 |        127 |       _stat
import time:      1241 |       1368 |     stat
import time:      1467 |       1467 |     _collections_abc
import time:       111 |        111 |       errno
import time:       294 |        294 |       genericpath
import time:      2435 |       2838 |     posixpath
import time:      5195 |      13128 |   os
import time:       325 |        325 |   _sitebuiltins
import time:       340 |        340 |   encodings.utf_8_sig
import time:     16057 |      16057 |   _distutils_hack
import time:       585 |        585 |     apport_python_hook
import time:      1402 |       1987 |   sitecustomize
import time:     37290 |      69124 | site
import time:      4748 |       4748 |     importlib
import time:      1325 |       6072 |   importlib.machinery
import time:       515 |        515 |     importlib._abc
import time:       144 |        144 |       _types
import time:      4101 |       4244 |     types
import time:      8349 |      13108 |   importlib.util
import time:       609 |        609 |   io
import time:      3689 |      23477 | runpy
import time:       804 |        804 |   __future__
import time:     14960 |      14960 |     _pytest._version
import time:     18431 |      33390 |   _pytest
import time:      1573 |       1573 |         _ast
import time:      1925 |       3497 |       ast
import time:       178 |        178 |           itertools
import time:       540 |        540 |           keyword
import time:       133 |        133 |             _operator
import time:      1662 |       1795 |           operator
import time:       755 |        755 |           reprlib
import time:       198 |        198 |           _collections
import time:      6011 |       9475 |         collections
import time:       893 |      10368 |       collections.abc
import time:      2746 |       2746 |           enum
import time:       138 |        138 |             _sre
import time:       518 |        518 |               re._constants
import time:      1645 |       2162 |             re._parser
import time:       293 |        293 |             re._casefix
import time:      3812 |       6403 |           re._compiler
import time:       183 |        183 |             _functools
import time:      2370 |       2553 |           functools
import time:       645 |        645 |           copyreg
import time:      6576 |      18921 |         re
import time:       972 |        972 |             _weakrefset
import time:      2605 |       3577 |           weakref
import time:      1834 |       5411 |         copy
import time:      1296 |       1296 |           annotationlib
import time:        93 |         93 |               _opcode
import time:       897 |        897 |               _opcode_metadata
import time:      3452 |       4441 |             opcode
import time:      3304 |       7745 |           dis
import time:       777 |        777 |           linecache
import time:      6197 |       6197 |             token
import time:       191 |        191 |             _tokenize
import time:      4773 |      11160 |           tokenize
import time:     10142 |      31119 |         inspect
import time:      7826 |      63275 |       dataclasses
import time:      1632 |       1632 |           contextlib
import time:       802 |        802 |           fnmatch
import time:      3386 |       5819 |         glob
import time:       178 |        178 |         pwd
import time:       205 |        205 |         grp
import time:       174 |        174 |           fcntl
import time:       821 |        821 |           _winapi
import time:      2961 |       3954 |         pathlib._os
import time:       845 |        845 |           _winapi
import time:       633 |        633 |           nt
import time:       834 |        834 |           nt
import time:       658 |        658 |           nt
import time:       741 |        741 |           nt
import time:       788 |        788 |           nt
import time:       810 |        810 |           nt
import time:       712 |        712 |           nt
import time:      7277 |      13297 |         ntpath
import time:      6437 |      29887 |       pathlib
import time:      1492 |       1492 |         textwrap
import time:       136 |        136 |             _contextvars
import time:      2076 |       2212 |           _py_warnings
import time:      1252 |       3463 |         warnings
import time:      8767 |       8767 |         _colorize
import time:      5684 |      19405 |       traceback
import time:        91 |         91 |         _typing
import time:      4854 |       4944 |       typing
import time:      9439 |       9439 |           pluggy._result
import time:     16534 |      25972 |         pluggy._hooks
import time:     10411 |      10411 |           pluggy._tracing
import time:      7799 |       7799 |             pluggy._warnings
